id,exact_match,norm_levenshtein,token_f1,rouge_l_f1,answer_accuracy,bleu,rouge1_f1,rouge2_f1,rougeL_f1,bert_precision,bert_recall,bert_f1,cosine_similarity
118,0.0,0.263575350823673,0.24601366742596814,0.082483781278962,1.0,0.1162162162162162,0.4764890282131662,0.42767295597484273,0.4420062695924765,0.7882710695266724,0.8419857025146484,0.814243495464325,0.8215970396995544
119,0.0,0.23836875358989085,0.26027397260273977,0.0360889634913974,0.0,0.1282051282051282,0.4519940915805022,0.322962962962963,0.3249630723781388,0.79278564453125,0.8282649517059326,0.8101369738578796,0.6488569974899292
120,0.0,0.26567735758736233,0.4042232277526395,0.15741056218057922,1.0,0.21231422505307856,0.5343189017951425,0.39153439153439157,0.3695881731784583,0.8231119513511658,0.8415464162826538,0.8322271704673767,0.7755709290504456
121,0.0,0.30528846153846156,0.3941368078175896,0.30591434398368456,1.0,0.20710059171597633,0.548235294117647,0.4316037735849056,0.4235294117647059,0.824806809425354,0.8387058973312378,0.8316982388496399,0.7991777062416077
122,0.0,0.2825768667642753,0.47165532879818595,0.20739549839228297,0.0,0.2898550724637681,0.5126811594202898,0.3992740471869329,0.42210144927536225,0.8091944456100464,0.8291406631469727,0.8190461993217468,0.855157732963562
123,0.0,0.28181818181818186,0.437613019891501,0.19315188762071994,1.0,0.2654639175257732,0.548621190130624,0.4425036390101893,0.38896952104499277,0.7569293975830078,0.8007772564888,0.7782362103462219,0.8697546124458313
124,0.0,0.2674834099030118,0.41569767441860467,0.08579881656804733,1.0,0.19224283305227655,0.5083440308087291,0.4066924066924067,0.3902439024390244,0.795809805393219,0.8344107866287231,0.8146532773971558,0.8250217437744141
125,0.0,0.265974025974026,0.39867109634551495,0.15390447308567096,1.0,0.2540792540792541,0.5669642857142857,0.44966442953020136,0.40401785714285715,0.7911161780357361,0.8067269325256348,0.7988452315330505,0.8959109783172607
126,0.0,0.2508989212944467,0.3447488584474886,0.15299913068675747,1.0,0.1952755905511811,0.5651777575205105,0.4365296803652968,0.39927073837739285,0.7914340496063232,0.7833832502365112,0.7873880863189697,0.8196580410003662
127,0.0,0.2808051055473736,0.4170212765957446,0.17547425474254744,1.0,0.22972972972972974,0.5595116988809765,0.4138634046890928,0.392675483214649,0.7874444723129272,0.814795970916748,0.8008867502212524,0.8480709791183472
128,0.0,0.3115145723841376,0.42165242165242167,0.2890651948947913,1.0,0.18032786885245902,0.5458563535911602,0.44739756367663347,0.4508287292817679,0.8065518140792847,0.8398730754852295,0.8228752017021179,0.8675104379653931
129,0.0,0.2722955145118734,0.3698435277382646,0.14008941877794337,1.0,0.1717171717171717,0.5559481743227327,0.4273907910271546,0.3910482921083627,0.8050850033760071,0.8449624180793762,0.8245418071746826,0.7980103492736816
130,0.0,0.2816901408450704,0.4179566563467493,0.21314102564102563,1.0,0.177007299270073,0.5797807551766139,0.463980463980464,0.41900121802679663,0.7760895490646362,0.7945205569267273,0.7851969599723816,0.7693315744400024
131,0.0,0.26514486391571557,0.33810888252148996,0.043619791666666664,1.0,0.15422885572139305,0.4768211920529802,0.3606194690265487,0.3818984547461369,0.8022622466087341,0.8308168649673462,0.8162899017333984,0.7950009107589722
132,0.0,0.24575163398692812,0.388671875,0.09095238095238095,1.0,0.2257617728531856,0.5232815964523282,0.37305699481865284,0.34737620103473765,0.7899960279464722,0.8255161046981812,0.8073655962944031,0.7988746166229248
133,0.0,0.2549019607843137,0.4112554112554112,0.11474584801207852,0.0,0.25039123630672927,0.5442936951316839,0.3852917665867306,0.34636871508379885,0.8137462735176086,0.8277488946914673,0.8206878900527954,0.580677330493927
134,0.0,0.2806551571491811,0.3613086770981508,0.12155038759689922,0.0,0.20077972709551659,0.6074672048435924,0.45096056622851366,0.4076690211907165,0.8144478797912598,0.8423100113868713,0.8281447291374207,0.7013944387435913
