id,exact_match,norm_levenshtein,token_f1,rouge_l_f1,answer_accuracy,bleu,rouge1_f1,rouge2_f1,rougeL_f1,bert_precision,bert_recall,bert_f1,cosine_similarity
170,0.0,0.18110676355505873,0.2484848484848485,0.11195817904595949,0.0,0.1324503311258278,0.39296636085626907,0.24042879019908114,0.2400611620795107,0.788644015789032,0.8168849945068359,0.8025160431861877,0.8380154371261597
171,0.0,0.21258278145695364,0.2574002574002574,0.04723642561480399,0.0,0.13787085514834205,0.43528441879637264,0.213047068538398,0.26051112943116245,0.7736571431159973,0.7827104330062866,0.7781574130058289,0.7005221843719482
172,0.0,0.21214511041009465,0.2389937106918239,0.15321756894790603,0.0,0.12908496732026145,0.37020316027088035,0.25470987189148453,0.27539503386004516,0.7653305530548096,0.7784309387207031,0.7718251943588257,0.8169093132019043
173,0.0,0.15638963360142988,0.20245398773006135,0.09687557774080237,0.0,0.09773539928486294,0.29820452771272443,0.20484753713838935,0.2185792349726776,0.7450615167617798,0.7805465459823608,0.7623913288116455,0.7917063236236572
174,0.0,0.28050595238095233,0.2716049382716049,0.10087140216530235,0.0,0.1463917525773196,0.43270189431704886,0.27172827172827174,0.30907278165503493,0.7004222869873047,0.7141447067260742,0.7072169780731201,0.6155354380607605
175,0.0,0.3622848200312989,0.40176600441501104,0.3336653386454183,0.0,0.24444444444444446,0.6678899082568808,0.574585635359116,0.4990825688073394,0.8076769113540649,0.835614800453186,0.8214083909988403,0.6588311195373535
176,0.0,0.2778457772337821,0.4124293785310735,0.09049773755656108,0.0,0.2818181818181818,0.6751269035532995,0.32653061224489793,0.3451776649746193,0.749169111251831,0.7824728488922119,0.765458881855011,0.9100995063781738
177,0.0,0.36563670411985016,0.3979057591623037,0.10308641975308643,0.0,0.24289405684754523,0.6476683937823833,0.4311688311688311,0.4585492227979275,0.8554725646972656,0.8608070611953735,0.8581315279006958,0.7851071357727051
178,0.0,0.36115107913669064,0.5307443365695793,0.29606299212598425,0.0,0.4,0.7704485488126649,0.5145888594164456,0.5013192612137204,0.8430662155151367,0.8537415266036987,0.8483703136444092,0.7493828535079956
179,0.0,0.5458515283842795,0.6062176165803109,0.10116731517509728,0.0,0.4225941422594142,0.7801418439716312,0.6619217081850534,0.652482269503546,0.8043271899223328,0.8253828287124634,0.814719021320343,0.8696861267089844
180,0.0,0.32657926102502977,0.42125237191650855,0.09020332717190388,0.0,0.2921686746987952,0.6658195679796696,0.48407643312101917,0.4675984752223634,0.8020251989364624,0.8193685412406921,0.8106040954589844,0.6919063329696655
181,0.0,0.24807158284480102,0.3063291139240506,0.08012604096331308,1.0,0.17495395948434622,0.5656742556917689,0.42807017543859643,0.40105078809106826,0.8392038941383362,0.8442687392234802,0.841728687286377,0.8354029059410095
